LAMMPS data file via write_data, version 7 Feb 2024, timestep = 101, units = metal

216 atoms
2 atom types

0 23.4 xlo xhi
0 20.264994448555868 ylo yhi
0 14.6 zlo zhi
-11.699999999999994 0 0 xy xz yz

Masses

1 15.9994
2 1.008

Pair Coeffs # lj/cut

1 0.1 3
2 0.1 3

Atoms # full

1 0 2 0 21.773517442064918 0.5084921691429884 14.245713540720608 -1 0 -1
2 0 1 0 3.458155890448097 2.2740432348709847 0.6279421616921259 0 0 0
3 0 1 0 -2.40537756736982 6.1720276145049064 0.49756982363337543 0 0 0
4 0 2 0 -0.07418742299251924 3.2805752540467332 0.3906449172354463 0 0 0
5 0 1 0 -0.7228272568278822 4.839718620153963 3.1420363908159943 0 0 0
6 0 1 0 2.483750063267498 5.07363218700962 2.055230055420686 0 0 0
10 0 2 0 21.49334124750018 1.5400800963168844 2.8559794966759573 -1 0 0
11 0 1 0 -3.5065636447789874 6.319731836145862 4.523654219399545 0 0 0
13 0 2 0 21.77351744137492 0.5084921690946707 6.945713540640262 -1 0 0
14 0 1 0 3.4581558912470323 2.274043236152101 7.927942161624996 0 0 0
15 0 1 0 -2.4053775670713238 6.172027615778227 7.797569823211716 0 0 0
25 0 2 0 17.87351744206044 7.263490319114973 14.245713540666168 -1 0 -1
34 0 2 0 17.593341246487757 8.295078245486247 2.855979496717363 -1 0 0
37 0 2 0 17.873517441777338 7.263490318743617 6.945713540794556 -1 0 0
7 0 2 0 5.292503496256769 3.4252976253682297 5.514748038149074 0 0 0
8 0 1 0 3.4765081729452074 0.626680492994848 5.110835909848435 0 0 0
9 0 1 0 1.3735723328604446 2.1631961526511763 3.058428799384102 0 0 0
12 0 1 0 1.9576072500658572 4.306513613354684 5.42721664896999 0 0 0
73 0 2 0 6.173517441676315 0.5084921691695793 14.245713540526172 0 0 -1
74 0 1 0 11.258155891149238 2.2740432361259444 0.6279421614174239 0 0 0
75 0 1 0 5.394622432977621 6.172027615817721 0.49756982339626576 0 0 0
76 0 2 0 7.725812576589261 3.280575254186397 0.3906449165592421 0 0 0
77 0 1 0 7.077172742396467 4.839718619794845 3.142036390321084 0 0 0
78 0 1 0 10.283750062428599 5.0736321874766706 2.0552300552799765 0 0 0
82 0 2 0 5.893341246623131 1.5400800958934182 2.855979496515988 0 0 0
83 0 1 0 4.293436355393306 6.3197318362939905 4.52365422025071 0 0 0
85 0 2 0 6.173517442211536 0.5084921695570357 6.945713540983562 0 0 0
86 0 1 0 11.258155890812334 2.274043235372956 7.927942162048549 0 0 0
87 0 1 0 5.394622432664321 6.172027615184744 7.797569823681738 0 0 0
97 0 2 0 2.273517441624068 7.263490318594822 14.245713541000736 0 0 -1
